#################################################
#
#	Analyse de la correlation de l'estimation
#   de la normale
#
#	Valeurs moyens d'erreur
#
#   Moments   Gaussian    Shen     Canny	
#
#################################################	
  3     0.3422 0.3666 4.981 4.825
  5     0.3562 0.6582 4.4465 4.389
 10     0.3964 1.077 4.005 3.614
 20      0.404 1.22 3.634 3.528
 30     0.3925 1.2 3.545 3.341
 40     0.3989 1.232 3.475 3.353
 50     0.3911 1.223 3.514 3.298
