# Statistics of error estimation
# sigma   mean   min    max  square  stdv 
  0.40  2.1267 1.9031 2.5405 4.5341 0.1065
  0.60  0.3794 0.3176 0.4759 0.1448 0.0290
  0.80  0.0709 0.0335 0.1160 0.0051 0.0115
  1.00  0.0784 0.0520 0.1143 0.0062 0.0091
  2.00  0.1346 0.1230 0.1503 0.0181 0.0047
  4.00  0.3641 0.3489 0.3788 0.1326 0.0055

